trial_len1,trial_len2,reach_diff,peak_velRight,peak_velLeft,vel_inxR,vel_inxL,mo_timeR,mo_timeL,Filename,Participant,Load,Distance,Difficulty,TrialNo,Load_kind,index_diff
892,1919,1027,1.117778139,1.458175561,632,619,1,1,'01_01_01.c3d',1,EE,B,E,1,Same,13
789,1399,610,0.843783301,1.269257503,450,537,123,92,'01_01_02.c3d',1,EE,B,E,2,Same,87
1084,1228,144,1.001019743,1.218951903,514,547,160,278,'01_01_03.c3d',1,EE,B,E,3,Same,33
907,1046,139,1.16810262,1.016273905,546,521,166,22,'01_01_04.c3d',1,EE,B,E,4,Same,25
920,1016,96,1.017739634,1.085013422,643,863,115,154,'01_01_05.c3d',1,EE,B,E,5,Same,220
1422,2500,1078,0.78914443,1.11970679,538,504,239,62,'01_01_01.c3d',2,EE,B,E,1,Same,34
1320,1613,293,0.94888641,1.18815003,550,494,298,234,'01_01_02.c3d',2,EE,B,E,2,Same,56
1156,1418,262,1.13554443,1.30687578,591,589,347,314,'01_01_03.c3d',2,EE,B,E,3,Same,2
1406,1991,585,0.91798989,1.24551508,475,926,6,1,'01_01_04.c3d',2,EE,B,E,4,Same,451
1916,2129,213,0.94103284,1.09525322,609,571,60,1,'01_01_05.c3d',2,EE,B,E,5,Same,38
698,705,7,2.259939137,2.358944088,435,434,11,1,'01_01_01.c3d',3,EE,B,E,1,Same,1
542,1705,1163,2.089468375,2.070642029,438,411,141,1,'01_01_02.c3d',3,EE,B,E,2,Same,27
1119,1155,36,1.65942854,2.065874313,838,809,630,79,'01_01_03.c3d',3,EE,B,E,3,Same,29
799,929,130,1.346928883,1.591302017,439,429,57,1,'01_01_04.c3d',3,EE,B,E,4,Same,10
735,787,52,1.710915437,2.015252263,551,572,281,1,'01_01_05.c3d',3,EE,B,E,5,Same,21
1150,1321,171,1.265207755,1.227177614,653,642,84,430,'01_01_01.c3d',4,EE,B,E,1,Same,11
1153,1505,352,1.739596826,1.522205296,831,841,586,180,'01_01_02.c3d',4,EE,B,E,2,Same,10
1197,1505,308,1.953076766,2.119636784,563,574,1,352,'01_01_03.c3d',4,EE,B,E,3,Same,11
916,1128,212,2.154101343,2.597399292,621,630,1,420,'01_01_04.c3d',4,EE,B,E,4,Same,9
738,958,220,1.442623921,1.350682338,466,470,239,199,'01_01_05.c3d',4,EE,B,E,5,Same,4
