trial_len1,trial_len2,reach_diff,peak_velRight,peak_velLeft,vel_inxR,vel_inxL,mo_timeR,mo_timeL,peakAccR,peakAccL,acc_inxR,acc_inxL,firsthand,Participant
153,2375,2222,2.234552942,1.462676535,199,1,1,1,23.98907964,25.68311219,48,15,Right reached,1
479,1119,640,0.911230783,0.948180801,694,382,96,1,4.400089739,5.096227834,1,535,Left reached,1
494,1021,527,1.178693495,1.158761514,422,385,158,8,6.803251482,8.97652112,255,268,Left reached,1
508,1271,763,1.748439619,1.641060609,649,560,129,194,12.94149642,11.80786893,807,808,Left reached,1
525,1108,583,1.000857569,0.772920126,716,292,1,14,3.743886153,4.208159718,1,167,Left reached,1
526,1261,735,1.145271087,1.101987264,489,459,127,151,6.317069291,6.674695605,311,617,Left reached,1
529,2122,1593,1.236817998,1.925064791,513,591,1,239,9.320560462,13.18573684,671,754,Right reached,1
546,1074,528,0.63365616,0.852601752,1,1,1,1,9.784615327,12.56609597,20,18,Right reached,1
548,1157,609,1.471097649,1.048522648,573,490,49,67,9.816610779,6.511821507,781,310,Left reached,1
548,1489,941,1.163135685,1.25762824,450,469,244,36,11.57439328,10.71236315,619,999,Right reached,1
556,1895,1339,0.987411757,1.027024017,479,753,25,251,9.830031162,3.494278658,644,480,Right reached,1
558,1102,544,0.765104641,1.062730402,493,699,78,86,4.117446034,3.218988644,685,792,Right reached,1
568,2425,1857,1.568568705,2.171018201,602,673,146,299,11.09028518,14.15754027,777,914,Right reached,1
578,1574,996,0.952461122,1.149022565,817,478,1,2,3.492671756,7.685766855,1192,630,Left reached,1
578,1421,843,1.57843057,1.359977293,529,541,258,7,11.34638804,11.68130855,646,1274,Left reached,1
596,1111,515,0.932868828,1.040285202,446,827,243,249,7.396381859,3.170062555,592,1111,Right reached,1
601,1295,694,0.763619683,0.498119034,647,418,1,1,2.206290974,1.918951972,27,738,Left reached,1
602,1175,573,0.825543231,1.160100853,1092,466,231,49,2.902785404,9.030816269,290,608,Left reached,1
611,1241,630,0.772624138,0.832821608,455,954,60,250,5.26715993,2.55970499,630,287,Right reached,1
613,1087,474,1.055161671,0.582981902,616,423,42,1,5.121113549,3.074675615,748,1,Left reached,1
613,2930,2317,1.180480979,1.127061365,512,910,321,1,11.96234767,5.791325458,664,18,Right reached,1
620,1291,671,1.571582593,1.059790714,612,545,307,288,10.42168821,6.148870024,870,395,Left reached,1
650,1330,680,0.72079273,1.016570969,951,507,1,27,2.498645155,6.635806572,34,381,Left reached,1
655,1137,482,0.777740339,0.968928024,911,549,242,259,2.856307532,7.439834634,336,678,Left reached,1
662,1180,518,0.936565921,1.499335495,546,628,1,25,6.538483857,7.841882018,694,740,Right reached,1
680,2405,1725,1.051297465,1.891627071,626,735,329,375,9.329724852,14.20237777,803,914,Right reached,1
681,3373,2692,0.850042248,0.859667598,898,495,225,242,3.285487378,5.105759665,1195,621,Left reached,1
686,1575,889,1.21510708,0.746935097,572,600,200,1,5.780497191,3.720790891,443,264,Left reached,1
710,1125,415,0.573570512,0.897359566,610,805,1,68,2.469467903,2.78062382,1,611,Right reached,1
713,974,261,0.553323703,1.584617864,619,510,1,103,2.537791348,9.044195028,329,402,Right reached,1
720,1141,421,0.61046354,0.993676899,600,469,224,52,3.456296998,6.347220636,861,273,Right reached,1
721,1034,313,0.449025641,0.807591846,443,692,1,1,1.827309063,2.689144325,17,1034,Right reached,1
723,1786,1063,1.81879786,2.394259579,453,506,1,102,14.59931937,16.6882373,629,689,Right reached,1
723,973,250,0.547740835,1.18265506,563,712,1,98,2.284144765,4.05943682,284,530,Right reached,1
724,1532,808,0.704989823,1.772867352,766,473,1,247,4.387611024,20.20522012,312,634,Left reached,1
726,1226,500,0.753347318,0.856703209,504,1115,1,314,4.88590021,2.534698884,357,417,Right reached,1
729,1408,679,0.80160835,0.804142759,614,1176,1,306,8.868931593,3.441999664,815,1,Right reached,1
733,1340,607,1.054433447,0.969257692,558,664,274,1,5.485457528,7.387865252,385,830,Left reached,1
739,1501,762,0.848290399,0.733979624,542,1319,1,1,5.759039938,5.426525706,403,1,Right reached,1
739,2037,1298,0.818504846,1.51500269,1000,670,462,1,3.150295977,14.31939037,1442,818,Left reached,1
747,1390,643,1.100808083,1.554720151,656,730,425,38,8.134275749,9.635092087,800,898,Right reached,1
748,1116,368,0.426876148,1.625726744,660,620,1,1,6.346744765,10.38623437,21,481,Right reached,1
749,1625,876,0.659420616,1.598151912,571,577,166,1,4.031841308,8.770004045,454,485,Right reached,1
751,1424,673,0.93174984,0.968133765,825,572,368,19,4.065363229,6.724934994,588,460,Left reached,1
752,969,217,1.199360548,0.741037593,778,650,337,139,4.245064615,4.72770201,969,780,Left reached,1
754,1796,1042,0.696506739,1.449689568,637,512,252,150,2.555035238,9.941338035,320,376,Right reached,1
755,1448,693,0.561083899,0.987258049,585,606,131,1,4.175159254,4.27233294,769,460,Right reached,1
762,1075,313,0.477467544,0.971793835,599,842,38,155,3.632328914,2.832080017,1,991,Right reached,1
766,1664,898,0.587531173,0.972594152,1160,588,363,366,2.767744861,6.732209109,1,454,Left reached,1
766,1070,304,1.404445704,0.736830607,654,492,290,37,9.372592588,4.508645404,756,384,Left reached,1
771,797,26,0.808407161,1.072990509,536,654,1,1,4.770920136,3.983260167,23,1,Left reached,1
776,1551,775,1.106383308,0.653475108,538,730,82,237,5.874088569,3.359624708,327,1010,Left reached,1
777,1456,679,1.080458143,1.475189983,633,650,313,19,8.642207327,9.983586436,766,508,Right reached,1
787,2877,2090,0.878439194,1.252080148,727,650,391,1,9.090917807,9.464235082,896,806,Right reached,1
789,1399,610,0.843783301,1.269257503,450,537,123,92,3.737824371,8.301168582,294,855,Left reached,1
791,1056,265,0.528715873,1.161856764,707,532,1,1,3.352827825,6.892207015,1,1042,Right reached,1
794,1057,263,0.604635141,1.819517797,738,555,1,297,2.779077554,12.4495891,929,706,Right reached,1
795,1430,635,0.968631396,0.825798192,548,556,208,1,5.556352777,5.992357996,419,411,Left reached,1
797,1378,581,0.566151178,0.730500649,644,809,249,1,2.778313229,3.080639435,453,449,Right reached,1
799,1477,678,1.149861425,0.610123784,492,645,237,232,6.949320899,2.443437831,998,995,Left reached,1
803,1286,483,0.839346383,0.756137418,1078,609,1,13,2.035369818,4.39567235,923,852,Left reached,1
803,950,147,1.175213637,0.461472409,512,466,1,1,8.727994992,1.895768149,626,1,Left reached,1
809,1904,1095,1.08031679,0.653824513,750,694,285,24,4.102104674,3.28082133,971,330,Left reached,1
809,1191,382,1.070017232,0.495195298,691,631,38,134,9.009266904,2.88500083,797,265,Left reached,1
816,1386,570,0.665723023,0.83842986,622,1131,1,81,3.822083804,3.948689414,899,461,Right reached,1
817,1227,410,0.583394557,0.795447158,629,573,1,143,3.585147739,2.861667517,1,449,Right reached,1
818,2175,1357,0.872369346,1.490975171,373,459,145,48,6.334888816,9.967591365,479,320,Left reached,1
819,1239,420,0.658385369,0.962182231,675,682,105,251,3.660101051,4.067378752,896,322,Right reached,1
824,1424,600,1.286138182,0.719709716,533,686,1,3,7.638105779,5.230094141,389,807,Left reached,1
825,1057,232,1.412573565,0.43102054,538,543,1,1,12.01466208,3.949124089,652,24,Left reached,1
827,1619,792,0.77933749,1.140656044,1490,744,197,24,3.125024471,10.50588695,1,854,Left reached,1
828,1217,389,0.603351603,0.902973518,677,840,269,1,2.562400117,4.183545478,866,333,Right reached,1
831,1972,1141,0.985239114,0.883270796,456,633,1,1,6.797854659,12.31587379,586,17,Left reached,1
835,1435,600,1.071493786,1.100620798,582,742,1,1,8.103892503,4.178843243,1151,1008,Left reached,1
839,2174,1335,0.368273822,1.609903951,1395,507,1,244,1.678665034,12.5933986,271,987,Left reached,1
848,1504,656,1.287297423,0.632766825,612,679,44,1,8.242293027,2.511721237,375,369,Left reached,1
850,1524,674,0.480356864,0.611775435,688,894,1,159,2.165179373,1.558646149,955,444,Right reached,1
857,1821,964,0.588858119,1.109626124,776,553,287,112,2.336363648,7.169473675,1,1120,Right reached,1
862,999,137,1.277503655,0.578668154,502,745,253,229,6.833830058,2.988052681,352,1,Left reached,1
865,1626,761,0.767448598,0.718930891,784,721,1,1,3.791711217,3.300976228,405,435,Left reached,1
868,1292,424,0.911719542,0.490091534,610,660,1,1,4.172178926,2.218162869,401,865,Left reached,1
870,1219,349,0.921267196,0.605182658,959,669,309,312,2.870073452,2.261213078,1219,448,Left reached,1
877,2337,1460,0.526413364,1.570271196,1097,485,1,239,5.292823611,10.74887592,770,351,Left reached,1
888,972,84,0.464753736,1.197617584,629,510,1,44,1.90392111,5.901158676,256,352,Right reached,1
889,1146,257,0.85145678,0.601474107,824,855,151,69,2.945849895,5.32872892,486,985,Left reached,1
892,1919,1027,1.117778139,1.458175561,632,619,1,1,6.245875337,7.455443841,784,367,Left reached,1
905,1080,175,0.790185886,0.642209522,869,392,1,52,5.811542348,3.142573463,1,483,Left reached,1
907,1046,139,1.16810262,1.016273905,546,521,166,22,5.5860254,6.543691807,284,939,Left reached,1
915,1489,574,0.5349297,1.36608726,537,491,1,138,2.480649705,13.56273213,269,1025,Left reached,1
917,1724,807,0.593573703,0.473890965,828,788,231,1,2.727502613,5.309715162,1,1,Left reached,1
918,1435,517,0.690902301,1.184081199,602,692,369,1,4.465648617,8.675759687,480,1365,Right reached,1
920,1016,96,1.017739634,1.085013422,643,863,115,154,3.430133149,4.9836869,749,964,Left reached,1
928,1324,396,0.670060571,0.573387127,736,755,1,323,2.4318076,2.915252532,297,464,Left reached,1
930,1857,927,0.490730619,1.27539291,806,617,1,286,2.990064923,7.411546761,1,1162,Right reached,1
936,2725,1789,1.298328028,2.450959594,617,701,366,388,10.55155551,17.61691596,769,872,Right reached,1
939,1084,145,0.610815005,1.409189053,448,562,1,294,4.616270811,6.899342716,330,376,Right reached,1
944,2041,1097,0.475137374,0.822656212,834,1133,348,358,2.455907531,3.523043535,419,1980,Right reached,1
946,2003,1057,0.984744219,1.268748858,505,780,137,250,5.379685609,4.042459884,335,1044,Left reached,1
953,2562,1609,1.033542972,0.452983642,564,715,321,311,8.156468105,2.279744552,694,1,Left reached,1
959,1021,62,1.221806901,0.461038127,524,725,264,254,6.716859031,3.203292302,360,312,Left reached,1
966,1140,174,1.087991626,1.314105374,795,560,322,329,5.338966543,8.257831253,376,400,Right reached,1
970,1082,112,1.219522052,0.408416636,564,639,181,1,6.196868967,1.817023146,697,1,Left reached,1
970,1361,391,0.460261646,0.746833057,738,977,1,1,2.491767339,4.046560082,1,1,Right reached,1
979,1235,256,1.464879528,2.232753686,595,672,1,297,14.73953838,17.62308817,777,848,Right reached,1
979,1005,26,1.063620289,1.065070221,913,833,300,264,4.636978551,5.552065784,1005,369,Left reached,1
984,2135,1151,0.501356371,1.312194234,804,516,1,267,3.103368516,8.919219632,365,407,Right reached,1
987,992,5,0.916104712,0.996460009,814,379,135,46,2.697447419,4.300333345,524,241,Right reached,1
995,2302,1307,1.115652329,0.871427086,813,773,265,1,8.828041878,6.220435914,1803,656,Left reached,1
996,1884,888,0.451066607,0.779973465,448,1033,12,285,4.368762396,3.584393365,1052,1573,Right reached,1
998,1195,197,1.030700334,1.669758261,424,584,1,82,5.551955719,9.800367308,660,754,Left reached,1
998,1162,164,0.920663694,0.52047279,816,850,290,287,3.125145551,2.743781192,553,1,Left reached,1
1000,2360,1360,1.480243985,0.451559632,529,946,282,1,12.72396271,3.603079664,647,1,Left reached,1
1003,1211,208,0.751935208,0.404030281,755,703,1,222,3.092126461,2.13695057,266,267,Left reached,1
1004,1123,119,0.4074538,0.99839049,854,451,1,69,1.967694748,7.215456231,273,336,Right reached,1
1004,1140,136,1.660733714,1.321991403,639,550,98,1,12.43390632,7.996808321,838,765,Right reached,1
1007,1085,78,1.237724273,1.124269914,504,557,183,1,8.265688423,3.817784107,633,709,Right reached,1
1015,1129,114,0.654933015,0.985589626,423,737,209,258,4.906122211,3.560459262,543,315,Right reached,1
1021,1454,433,0.853517549,0.959104279,767,397,1,1,2.670941368,3.610472294,1037,237,Right reached,1
1025,1819,794,0.775675271,0.605638054,723,688,482,1,6.266921707,6.631841968,833,1166,Left reached,1
1025,1063,38,0.98118335,0.958559076,736,836,234,259,4.198943409,4.373505567,1063,330,Right reached,1
1027,1029,2,0.980004805,1.422465436,610,558,266,269,6.146725215,6.984851083,519,340,Right reached,1
1034,2610,1576,0.99017053,1.016760303,535,775,282,285,7.339562108,3.334115981,1589,329,Left reached,1
1035,2503,1468,1.113651372,1.63786061,703,753,1,1,9.117818113,11.37633627,302,988,Right reached,1
1041,2685,1644,0.647448684,0.991330101,386,751,209,209,5.77807925,4.264011863,493,1109,Left reached,1
1046,1065,19,1.008818549,1.143864467,760,500,246,262,4.141690889,9.23734918,1007,1065,Left reached,1
1054,2810,1756,1.210312256,0.805200472,613,1454,295,307,4.955127945,3.428082208,1266,1765,Right reached,1
1054,1057,3,1.116948056,0.963625892,600,617,35,69,6.351094105,3.70669146,708,327,Left reached,1
1060,1259,199,0.890937324,0.566699183,765,725,240,253,3.228267585,2.754572561,1189,1,Right reached,1
1068,1093,25,0.863891767,1.03401836,734,468,113,168,3.338808877,6.881089249,997,1065,Right reached,1
1075,1898,823,1.797561882,1.658929623,633,626,344,314,10.43838974,11.64459304,810,807,Left reached,1
1084,1228,144,1.001019743,1.218951903,514,547,160,278,5.70783394,6.87844511,364,350,Left reached,1
1085,1139,54,1.275732025,0.548658849,633,523,256,1,7.525894381,3.629330956,746,305,Right reached,1
1093,1253,160,0.990020142,0.724673929,709,557,38,1,4.889516888,5.219091677,967,419,Left reached,1
1097,1323,226,1.080408898,1.590453106,809,599,294,325,5.089293867,9.227984178,1042,733,Right reached,1
1104,2470,1366,0.90869075,0.921437245,887,526,178,1,3.186074694,5.906321913,1157,1806,Right reached,1
1109,1343,234,0.948572675,0.782798098,871,904,98,186,3.221318456,2.52236137,582,1269,Right reached,1
1114,1238,124,0.699129428,1.013548908,442,621,233,65,5.13038684,7.764422801,593,1238,Right reached,1
1152,1215,63,0.836642646,1.165031091,834,600,1,1,2.243305,5.399315397,1194,722,Right reached,1
1154,1303,149,0.841130015,0.402644546,908,735,263,1,2.830762861,4.272327116,1110,1,Right reached,1
1155,1357,202,1.19564202,0.939224502,550,896,267,276,6.636039552,2.807753096,346,515,Left reached,1
1161,1193,32,1.200910722,0.935848737,500,845,209,193,6.413625994,2.670764389,358,1051,Left reached,1
1161,1255,94,0.897953884,1.182753011,817,526,1,244,2.211475801,7.30492825,1107,384,Right reached,1
1161,1519,358,1.222859648,1.252598739,604,546,1,350,7.95105419,9.828297365,431,421,Left reached,1
1162,1458,296,1.177910339,0.413917054,1039,752,476,1,4.738081745,3.255329711,1181,553,Right reached,1
1165,1171,6,0.829040154,0.947583602,505,927,1,317,5.517768516,4.545227355,386,1104,Left reached,1
1165,1211,46,1.721174685,1.884756874,717,694,372,1,11.0239659,12.61738365,899,923,Right reached,1
1167,1360,193,0.8736469,0.903641591,485,874,253,281,7.58814615,3.996768094,613,1,Left reached,1
1184,1551,367,1.541065634,1.310015549,730,759,48,46,10.53556764,7.828864228,856,550,Right reached,1
1185,1210,25,1.08339987,1.422391938,288,347,1,1,6.342504302,8.559876108,659,567,Right reached,1
1192,2090,898,0.709489502,0.753603311,996,431,214,1,2.499338533,4.105991512,1358,1586,Right reached,1
1201,1929,728,0.796400634,1.206467245,587,640,344,1,4.664900437,5.856816454,455,481,Left reached,1
1205,1375,170,0.870265537,0.744264322,856,1022,348,357,3.156963627,3.179381921,397,511,Right reached,1
1205,2041,836,0.810919395,0.785875906,872,979,138,167,4.832096661,2.734369269,768,1414,Left reached,1
1205,1242,37,0.935409535,0.3937619,406,806,226,248,7.563092726,2.918426562,312,1,Right reached,1
1213,1513,300,1.070475456,0.908115916,1016,1086,466,1,4.748470326,2.379796729,1174,708,Right reached,1
1224,1417,193,1.069640356,1.253776331,1025,786,520,1,3.931598076,7.540643934,1207,607,Right reached,1
1236,1985,749,1.252865885,0.913207078,562,900,1,1,10.04390907,4.296783984,1141,1146,Left reached,1
1236,1345,109,0.803408638,0.926353135,895,1053,1,377,4.321314944,3.758618071,1,436,Left reached,1
1239,1346,107,0.860343558,0.776716129,892,1092,312,297,3.337089249,2.626373355,1116,347,Right reached,1
1239,1271,32,0.776885296,0.825003437,1052,1021,1,1,2.21424286,2.949905032,385,388,Right reached,1
1247,2200,953,1.097118223,0.615040482,827,525,71,326,8.539678411,4.458845533,1403,398,Right reached,1
1250,1279,29,0.789611058,1.145309851,813,447,245,31,3.231361189,7.953101049,1274,310,Right reached,1
1251,2861,1610,0.844710032,0.670148839,876,832,175,168,2.741054692,2.130342726,1254,1115,Right reached,1
1266,2106,840,1.049148972,0.891628693,848,877,1,1,3.839061271,3.00732471,385,1347,Right reached,1
1269,1278,9,1.067111151,1.096723486,767,1156,1,475,6.1833825,3.430154389,1278,515,Left reached,1
1277,1877,600,0.540497814,1.133529252,420,825,1,259,3.906878228,5.639279207,570,949,Left reached,1
1278,1338,60,0.886920811,0.368412287,1071,815,1,64,3.804571533,2.962973728,431,437,Right reached,1
1282,1485,203,0.807022842,0.963548424,468,481,210,227,4.867374372,5.789550752,336,333,Left reached,1
1282,2160,878,0.872665196,0.787005451,969,1993,416,1,3.925173641,5.935199693,664,1,Right reached,1
1293,1378,85,0.975232847,0.933986571,645,555,42,1,4.95762057,6.126373313,410,685,Left reached,1
1309,1361,52,0.933465048,0.855527469,577,977,77,1,4.731503441,4.962731154,1050,1,Left reached,1
1313,1570,257,0.814263677,1.047489619,513,577,273,1,5.725244032,6.835470811,1444,411,Right reached,1
1315,1488,173,0.732747796,0.731226999,963,1134,1,284,2.864551767,2.177050113,1234,480,Right reached,1
1324,1415,91,0.376658571,0.832912707,1087,1149,1,1,2.930490002,4.024794483,1,1,Right reached,1
1326,1859,533,1.044048611,1.288203732,591,642,1,46,7.21237239,7.55459006,454,469,Left reached,1
1330,1767,437,0.684838567,1.381587694,827,528,305,315,3.285931311,9.126745581,368,416,Left reached,1
1330,2236,906,0.566514685,0.694922918,531,1144,1,113,2.924816762,2.95375625,1567,1436,Left reached,1
1331,1551,220,0.827030481,0.968488644,540,680,1,1,3.328426653,4.101153487,195,906,Left reached,1
1340,2041,701,0.558622375,0.362843384,1020,878,1,1,4.158500917,1.388153745,1340,524,Left reached,1
1365,1830,465,0.270834445,0.879603747,830,1013,1,1,1.721674848,2.948687126,18,1402,Left reached,1
1374,2494,1120,0.991921756,1.493709826,554,582,32,382,7.612521467,11.33243128,428,436,Right reached,1
1382,2446,1064,0.698312865,0.609097686,400,930,27,1,5.298235852,1.792836598,1491,1471,Left reached,1
1389,3767,2378,0.783718688,1.166884839,486,937,290,317,5.250447872,10.35453431,382,1037,Left reached,1
1433,2128,695,0.482027142,0.754970898,769,1182,128,201,3.739381066,3.769459554,875,1613,Left reached,1
1439,1575,136,2.292576002,2.651240906,716,724,388,398,12.14957489,15.95352545,970,942,Left reached,1
1447,1932,485,0.717965292,0.762496689,526,574,1,326,4.710510367,8.620906132,393,1476,Left reached,1
1449,1624,175,1.000493778,0.730385437,547,738,274,1,5.672749717,4.333671128,394,1,Left reached,1
1503,1718,215,0.720804792,0.874299079,567,640,91,58,4.519715984,4.369298755,394,397,Left reached,1
1537,1845,308,1.257827484,1.489763323,742,728,410,399,4.885161683,11.06874697,1039,916,Right reached,1
1546,2732,1186,0.795073362,0.854052782,1060,1299,379,391,4.870010257,2.608347539,1681,1468,Left reached,1
1841,1972,131,0.792139449,0.679789534,524,813,298,1,5.006817722,3.280261151,401,1025,Right reached,1
2021,2762,741,0.971950897,0.820396827,1701,2095,1195,1,3.493729672,3.432953929,1964,2356,Right reached,1
2078,2749,671,0.758698076,1.000604094,538,964,27,381,5.834290774,4.377352461,429,906,Left reached,1
2167,3210,1043,0.434583081,0.626181035,2215,2167,1,328,2.955968591,3.325886639,1,1,Left reached,1
2369,3519,1150,0.284271318,0.712396301,2176,1732,1,1103,1.399505581,8.226629734,1,3464,Right reached,1
1688,1912,224,0.577411453,0.322553616,1760,1,1,1,3.895634712,6.071777208,1,27,Left reached,2
2205,2894,689,0.805031524,1.035615339,751,1927,1,573,6.765362693,16.22467484,851,1845,Left reached,2
1276,2181,905,0.662485957,0.776033984,595,1210,69,17,4.249880046,2.949258981,494,482,Right reached,2
1078,1930,852,0.600088983,0.87844533,902,616,38,1,7.254852216,5.957353074,1568,528,Left reached,2
1761,2294,533,0.894119733,0.688361021,686,1329,1,15,5.371401602,3.075736588,599,1758,Right reached,2
1224,2109,885,0.695217275,1.073707968,1069,573,1,1,3.146832297,8.880683455,1,669,Left reached,2
1557,1786,229,0.836395273,1.075810138,555,560,1,379,6.260207874,12.61585013,460,1551,Right reached,2
1371,2974,1603,0.46592413,1.405269901,1252,1110,1,377,2.353860302,13.07943256,1428,1712,Right reached,2
1074,2181,1107,0.398560584,0.755012154,918,1331,1,1,2.211393242,3.747165432,401,390,Right reached,2
1408,2658,1250,0.5973302,1.110993693,2620,459,128,1,5.214582821,9.831386099,2265,1519,Left reached,2
1725,2086,361,0.598573108,0.981884289,1541,984,249,1,2.631350101,5.392329445,1,1282,Left reached,2
624,1365,741,0.976169999,1.088007434,809,492,100,243,5.501923263,7.256380945,680,364,Left reached,2
993,1558,565,0.427158316,0.851591668,845,1060,1,285,3.589776547,4.390979565,1,1403,Right reached,2
1422,2500,1078,0.789144431,1.11970679,538,504,239,62,4.408636893,8.730587064,393,1554,Left reached,2
827,2177,1350,0.698859214,1.194569271,1196,670,449,27,3.808936887,8.932011603,1524,776,Left reached,2
1443,2024,581,0.640708866,0.771503437,1067,1235,309,28,1.667016994,4.482061609,1292,1,Right reached,2
923,1035,112,0.741164088,1.218865465,444,727,242,21,5.426333755,6.94438446,329,325,Right reached,2
2006,2375,369,1.038702587,0.899854464,564,1199,23,168,7.477956477,3.031511258,660,1419,Left reached,2
1719,2188,469,0.733248668,1.30303449,1386,1062,583,1,3.427597215,10.45936482,876,44,Right reached,2
860,1331,471,0.675905005,0.729472051,549,501,55,19,3.678865341,4.513696314,1251,324,Left reached,2
